Nome: MORRINHOS
Codigo Estacao: A003
Latitude: -17.745066
Longitude: -49.101698
Altitude: 751.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;204,6;927,760753;24,614247;6,5;1,885618;
2020-02-29;22;354,8;929,130603;24,216236;6,7;1,726149;
2020-03-31;15;114,8;929,130715;24,060098;7,6;1,508123;
2020-04-30;8;41,8;930,86625;23,010139;7,2;1,40125;
2020-05-31;6;9;932,439919;19,556989;6,3;1,258871;
2020-06-30;0;0;932,903611;20,605694;7;1,502083;
2020-07-31;0;0;932,644758;20,885887;7,4;1,682796;
2020-08-31;0;0;932,231183;21,965591;8,3;2,132796;
2020-09-30;3;8,6;930,496516;26,02968;6,9;1,991781;
2020-10-31;17;138;928,014651;26,431855;6,6;2,125538;
2020-11-30;13;165,8;928,396667;24,656111;8,6;1,895417;
2020-12-31;22;300,8;928,139651;24,362097;6,3;1,547984;

