Nome: PARANA,,,,,,,,,,,,
Codigo Estacao: A010,,,,,,,,,,,,
Latitude: -12.615,,,,,,,,,,,,
Longitude: -47.87194443,,,,,,,,,,,,
Altitude: 284.96,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,null,null,978,828074,26,138529,6,,622113,null,null,null
2020-02-29,null,null,979,403548,25,95511,5,2,,419934,,
2020-03-31,null,null,979,431329,25,302209,6,,487775,,,
2020-04-30,null,null,980,328472,25,848611,4,1,,425,,
2020-05-31,4,73,6,981,642742,24,980242,4,,397984,,
2020-06-30,1,,4,982,32125,23,757639,4,6,,280833,
2020-07-31,0,0,982,113978,23,12379,4,8,,495161,,
2020-08-31,0,0,981,132661,25,510215,4,1,,628226,,
2020-09-30,2,10,2,979,495405,27,956564,4,1,,555453,
2020-10-31,5,68,977,511004,29,47978,4,8,,877986,,
2020-11-30,13,147,6,978,177806,26,71331,5,3,,858483,
2020-12-31,17,129,2,978,73872,26,193221,6,4,,48231,
