Nome: LUZIANIA
Codigo Estacao: A012
Latitude: -16.26055555
Longitude: -47.96694443
Altitude: 1000.82
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;316,4;901,983065;23,351479;9,4;2,635484;
2020-02-29;19;128,2;903,225718;22,734483;7,3;1,926868;
2020-03-31;17;241,2;903,023118;22,659812;8,3;2,429436;
2020-04-30;11;119,4;904,525556;22,326528;7,7;1,658889;
2020-05-31;7;63;905,814651;20,089919;6,5;2,102285;
2020-06-30;0;0;906,504444;20,304167;8,1;2,569028;
2020-07-31;0;0;906,275941;20,554167;8,1;2,959409;
2020-08-31;0;0;905,851882;21,300806;8,1;3,31129;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;10;null;null;23,348658;6;null;

