Nome: ARAGARCAS,,,,,,,,,,,,
Codigo Estacao: A013,,,,,,,,,,,,
Latitude: -15.90277777,,,,,,,,,,,,
Longitude: -52.24527777,,,,,,,,,,,,
Altitude: 327.35,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,22,253,6,973,625134,26,966263,7,1,139651,null,null
2020-02-29,22,345,974,691379,26,304598,5,1,169828,,,
2020-03-31,18,189,6,974,502823,26,609409,4,6,1,255511,
2020-04-30,9,105,4,976,210556,26,61375,4,4,1,105972,
2020-05-31,4,2,4,978,18683,23,734946,3,4,1,47849,
2020-06-30,0,0,977,994861,24,359583,5,1,129722,,,
2020-07-31,0,0,977,72427,24,205283,4,7,1,172809,,
2020-08-31,0,0,976,780376,26,460887,4,8,1,311156,,
2020-09-30,3,12,974,814861,29,185417,5,2,1,363472,,
2020-10-31,13,122,8,973,20296,29,263172,5,4,1,338844,
2020-11-30,8,30,8,973,546389,28,262778,6,6,1,498611,
2020-12-31,3,null,null,null,4,8,null,,,,,
