Nome: GOIAS
Codigo Estacao: A014
Latitude: -15.93972221
Longitude: -50.14138888
Altitude: 512.86
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;24;602,2;953,263844;25,435618;7,8;1,432527;
2020-02-29;23;534,4;954,254098;25,108396;7,8;1,074694;
2020-03-31;21;334,2;954,036571;25,193011;5,4;,882124;
2020-04-30;12;125;955,498841;25,274813;5,3;,989354;
2020-05-31;1;2;956,944355;23,685887;5,4;,99328;
2020-06-30;0;0;957,327361;24,04;6,7;1,307639;
2020-07-31;0;0;957,089534;24,357907;6,3;1,420477;
2020-08-31;0;0;956,335461;26,132983;6,7;1,754745;
2020-09-30;3;3,2;954,549444;29,319028;7,6;1,855556;
2020-10-31;11;282,8;952,754301;28,107392;7;1,461559;
2020-11-30;12;196;953,145972;26,261667;7,1;1,26125;
2020-12-31;16;220;953,061805;25,792917;6,6;1,073333;

