Nome: JATAI,,,,,,,,,,,,
Codigo Estacao: A016,,,,,,,,,,,,
Latitude: -17.923622,,,,,,,,,,,,
Longitude: -51.717467,,,,,,,,,,,,
Altitude: 670.08,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,17,198,936,373522,24,78629,6,7,1,752957,null,null
2020-02-29,24,264,6,937,466379,24,185488,7,1,1,610058,
2020-03-31,15,103,2,937,702823,24,382527,5,4,1,343817,
2020-04-30,11,70,8,939,69625,22,918056,5,6,1,158889,
2020-05-31,12,43,6,941,27057,19,4102,5,,92365,,
2020-06-30,3,6,6,941,199444,20,680278,6,1,1,135417,
2020-07-31,0,0,940,990188,20,66465,6,1,1,250134,,
2020-08-31,0,0,940,545565,22,1478,7,2,1,852419,,
2020-09-30,3,23,6,938,615417,26,369167,6,9,1,689444,
2020-10-31,15,205,936,447715,26,83333,9,6,1,654032,,
2020-11-30,11,80,2,936,953194,24,92,6,6,1,607917,
2020-12-31,25,308,936,630242,24,437336,6,3,1,480131,,
