Nome: POSSE,,,,,,,,,,,,
Codigo Estacao: A017,,,,,,,,,,,,
Latitude: -14.08916666,,,,,,,,,,,,
Longitude: -46.36638888,,,,,,,,,,,,
Altitude: 830,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,null,null,null,null,null,null,,,,,,null
2020-02-29,null,null,null,null,null,null,,,,,,
2020-03-31,12,null,null,23,98869,6,3,null,,,,
2020-04-30,14,215,922,332083,23,88,6,1,834861,,,
2020-05-31,5,29,923,647178,23,14382,6,1,2,54973,,
2020-06-30,0,0,924,310695,22,866111,6,2,2,327917,,
2020-07-31,0,0,924,174731,22,546237,6,6,2,563575,,
2020-08-31,0,0,923,627419,23,846774,6,3,2,85457,,
2020-09-30,2,1,6,922,384583,26,596806,7,2,2,970694,
2020-10-31,13,114,6,920,167473,26,873253,7,2,2,412231,
2020-11-30,13,217,920,308333,24,640694,6,4,2,359167,,
2020-12-31,13,281,4,920,79167,25,372849,5,3,1,697043,
