Nome: PEIXE,,,,,,,,,,,,
Codigo Estacao: A018,,,,,,,,,,,,
Latitude: -12.015377,,,,,,,,,,,,
Longitude: -48.544517,,,,,,,,,,,,
Altitude: 250.87,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,20,413,2,982,503442,26,38788,5,5,1,44735,null
2020-02-29,20,243,4,983,7072,26,218953,5,5,,831109,
2020-03-31,17,null,982,826688,25,949072,2,9,,29333,,
2020-04-30,16,150,4,983,742778,26,457639,0,0,,,
2020-05-31,5,59,4,984,889247,26,188038,0,0,,,
2020-06-30,0,0,985,456667,25,259583,0,0,,,,
2020-07-31,0,0,985,211828,24,611022,0,0,,,,
2020-08-31,0,0,984,192742,26,584946,0,0,,,,
2020-09-30,0,0,982,66224,28,724094,0,0,,,,
2020-10-31,12,117,6,981,38049,28,619828,0,0,,,
2020-11-30,11,null,null,26,507736,0,null,,,,,
2020-12-31,null,null,null,null,0,null,,,,,,
