Nome: GOIANESIA,,,,,,,,,,,,
Codigo Estacao: A022,,,,,,,,,,,,
Latitude: -15.22027777,,,,,,,,,,,,
Longitude: -48.98999999,,,,,,,,,,,,
Altitude: 667.01,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,17,265,936,891756,24,808018,6,7,1,406836,null,null
2020-02-29,20,468,2,937,878592,24,244534,7,1,1,5529,
2020-03-31,22,363,4,937,681902,24,142475,6,2,,73934,
2020-04-30,12,null,939,28358,24,1314,7,6,,708469,,
2020-05-31,2,null,940,409158,23,486003,3,4,,698462,,
2020-06-30,null,null,null,null,5,null,,,,,,
2020-07-31,null,null,null,null,6,2,null,,,,,
2020-08-31,null,null,null,null,6,3,null,,,,,
2020-09-30,null,null,null,null,6,1,null,,,,,
2020-10-31,null,null,null,null,6,5,null,,,,,
2020-11-30,null,null,null,null,5,7,null,,,,,
2020-12-31,null,null,null,null,5,5,null,,,,,
