Nome: CAIAPONIA
Codigo Estacao: A023
Latitude: -16.96694443
Longitude: -51.81749999
Altitude: 740.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;10;92;928,984812;24,518011;6,2;1,613038;
2020-02-29;null;null;929,984339;23,921408;6,5;1,451293;
2020-03-31;null;null;929,973825;24,392491;6,3;1,244226;
2020-04-30;null;null;931,707083;23,789167;8,3;1,280556;
2020-05-31;null;null;933,123387;20,929301;5,2;1,317473;
2020-06-30;null;0;933,293889;22,0425;5,1;1,379167;
2020-07-31;0;0;933,041936;22,136559;4,8;1,176882;
2020-08-31;0;0;932,472043;23,559409;8,7;1,545161;
2020-09-30;3;59,6;930,880694;26,917361;6,6;1,130833;
2020-10-31;8;22,2;928,917339;26,384409;6,8;1,447984;
2020-11-30;null;null;929,248333;25,350556;5,4;1,52375;
2020-12-31;6;null;null;null;7,1;null;

