Nome: MINEIROS
Codigo Estacao: A026
Latitude: -17.45472222
Longitude: -52.60111111
Altitude: 862
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;260,2;915,733162;23,774462;6,5;2,144373;
2020-02-29;25;390;916,653792;23,281003;7,2;2,062606;
2020-03-31;16;127,2;916,775357;23,829541;6;2,056796;
2020-04-30;10;43,6;918,615972;22,711528;7,4;1,923056;
2020-05-31;8;64,4;919,890457;19,573656;5,9;1,889919;
2020-06-30;1;2,2;919,932778;21,164861;7,2;2,288056;
2020-07-31;0;0;919,705914;21,437903;7,3;2,273253;
2020-08-31;0;0;919,171459;22,85495;7,6;2,849118;
2020-09-30;3;28,2;917,693194;26,523195;7,2;2,609306;
2020-10-31;12;115,2;915,753941;25,771069;9,2;2,481231;
2020-11-30;5;68;916,031555;24,927282;8,1;2,560955;
2020-12-31;18;268;915,786167;23,357899;6,2;2,217314;

