Nome: PARAUNA
Codigo Estacao: A027
Latitude: -16.962536
Longitude: -50.42545
Altitude: 678.74
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;21;291,6;935,442742;25,199059;5;1,460618;
2020-02-29;20;363;936,604167;24,396264;6,1;1,238649;
2020-03-31;16;168,4;936,571061;24,734777;4,7;,93542;
2020-04-30;11;173,2;938,352222;23,811944;4,1;,818194;
2020-05-31;3;7,6;939,922715;21,108333;3,7;,924597;
2020-06-30;0;0;940,109444;22,739444;4,7;1,092222;
2020-07-31;0;0;939,887231;22,985349;5,6;1,091264;
2020-08-31;0;0;939,38293;24,144624;5,2;1,471102;
2020-09-30;3;28,4;937,619861;27,765;5,4;1,291944;
2020-10-31;10;49,6;935,434274;27,366264;6,1;1,302957;
2020-11-30;12;182,2;935,837639;25,854722;6;1,196806;
2020-12-31;17;272,6;935,622312;25,249731;6,4;1,18293;

