Nome: ITUMBIARA
Codigo Estacao: A035
Latitude: -18.40972222
Longitude: -49.19194444
Altitude: 491.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;449,2;955,099059;25,869624;6,1;,072043;
2020-02-29;26;219,8;956,637644;25,241236;7;,072414;
2020-03-31;12;61,4;956,705511;25,542473;7,8;,032527;
2020-04-30;13;17,2;958,610417;24,403472;,5;,005556;
2020-05-31;9;45,4;960,590188;20,527016;4;,026747;
2020-06-30;1;,2;960,860833;21,750694;2,9;,054167;
2020-07-31;0;0;960,620027;22,04328;4,6;,059543;
2020-08-31;0;0;960,178629;23,577823;4,2;,145564;
2020-09-30;2;,6;957,980972;27,236389;5,1;,147778;
2020-10-31;12;156,2;955,313844;27,636694;4,9;,073522;
2020-11-30;9;75;955,871262;26,349728;4,2;,057959;
2020-12-31;null;null;null;null;1,1;null;

