Nome: CRISTALINA
Codigo Estacao: A036
Latitude: -16.78499999
Longitude: -47.61305555
Altitude: 1211.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;416,8;880,376747;22,174059;0;0;
2020-02-29;20;272,4;881,66954;21,778161;0;0;
2020-03-31;22;346,8;881,500432;21,222212;0;0;
2020-04-30;19;197,4;882,950972;20,799306;0;0;
2020-05-31;7;9,4;884,067607;18,692204;0;0;
2020-06-30;4;,8;884,832222;18,60625;0;0;
2020-07-31;0;0;884,605242;18,853898;0;0;
2020-08-31;0;0;884,270833;19,255645;0;0;
2020-09-30;1;8,8;883,289028;23,141528;0;0;
2020-10-31;15;206,2;880,896237;23,675269;0;0;
2020-11-30;13;129,2;880,837361;21,648611;0;0;
2020-12-31;16;233,8;880,654628;22,438056;6,5;1,666425;

