Nome: SILVANIA
Codigo Estacao: A037
Latitude: -16.67972221
Longitude: -48.61805554
Altitude: 952
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;24;189,4;906,960326;23,280423;4,8;,925193;
2020-02-29;24;534,8;908,224856;22,606034;3,4;,887787;
2020-03-31;20;180,2;908,037097;22,577419;4,6;,931855;
2020-04-30;16;131,4;909,594028;22,111944;6,7;,990833;
2020-05-31;4;8,4;910,950806;19,291263;3,6;,894086;
2020-06-30;0;0;911,570278;19,4525;3,6;,879722;
2020-07-31;0;0;911,31828;19,615995;3,7;1,064785;
2020-08-31;0;0;910,879032;20,836156;5,2;1,225;
2020-09-30;3;12,4;909,578611;24,316806;4,3;1,140278;
2020-10-31;12;114,8;907,257258;24,666667;4,4;1,074462;
2020-11-30;16;186,6;907,374444;22,982222;4,5;1,059861;
2020-12-31;null;null;907,144758;23,309946;4;,846371;

