Nome: DIANOPOLIS
Codigo Estacao: A038
Latitude: -11.59444444
Longitude: -46.84722221
Altitude: 727.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;24;367,2;931,069581;23,914496;7,9;2,225891;
2020-02-29;23;256;931,457746;24,030197;8,1;1,953105;
2020-03-31;21;196,2;931,373383;23,683384;7,3;2,034104;
2020-04-30;15;186,4;932,214583;24,273056;7,8;2,26625;
2020-05-31;5;64,6;933,256475;24,140013;8,4;3,069069;
2020-06-30;1;1,8;933,799167;23,606528;7,9;3,541111;
2020-07-31;0;0;933,611828;23,655914;9;3,648925;
2020-08-31;0;0;932,986694;25,242742;9,5;3,689516;
2020-09-30;1;3,4;931,929444;27,324722;9,3;3,455695;
2020-10-31;7;63,6;930,176005;27,428363;7,7;2,948818;
2020-11-30;null;null;930,331161;24,646404;8,3;2,977556;
2020-12-31;null;null;930,218756;24,869912;10,1;2,008083;

