Nome: MARIANOPOLIS DO TO
Codigo Estacao: A041
Latitude: -9.576389
Longitude: -49.723333
Altitude: 186.69
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;349,4;989,849262;26,030706;9,8;1,833125;
2020-02-29;22;250,6;990,141363;25,869889;7;1,913082;
2020-03-31;22;404,2;990,050471;25,838972;7,3;1,846182;
2020-04-30;22;106,8;990,665556;26,504028;6;1,6575;
2020-05-31;6;91,4;991,492933;26,665556;6,6;1,545755;
2020-06-30;0;0;991,767778;26,030139;7,9;1,773611;
2020-07-31;null;null;991,230813;25,567695;7,9;1,875658;
2020-08-31;1;null;990,475314;27,557763;7,4;1,935916;
2020-09-30;4;30,8;989,150547;28,189949;12,2;2,131159;
2020-10-31;4;null;987,926597;null;9,6;1,920421;
2020-11-30;3;null;null;null;11,7;null;
2020-12-31;null;null;null;null;8,6;null;

