Nome: BRAZLANDIA
Codigo Estacao: A042
Latitude: -15.59972221
Longitude: -48.1311111
Altitude: 1143
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;474,6;887,015457;22,025672;9,2;2,551613;
2020-02-29;22;386,2;888,04459;21,593834;6,8;1,858333;
2020-03-31;22;531,2;887,780714;21,452033;6,4;1,965027;
2020-04-30;16;267;889,153853;21,487373;8,3;1,873895;
2020-05-31;2;12;890,223387;20,106452;5,1;2,11371;
2020-06-30;0;0;890,884028;20,081111;6,2;2,360694;
2020-07-31;0;0;890,66922;20,000269;8,3;2,525538;
2020-08-31;0;0;890,177823;21,054704;6,4;2,710753;
2020-09-30;2;23,8;889,310694;23,984722;7;2,567419;
2020-10-31;10;100;887,003577;24,504616;6,6;2,363454;
2020-11-30;19;201;887,114861;21,759167;9,7;2,24;
2020-12-31;13;173,4;886,935263;22,612351;7,4;1,866851;

