Nome: CAMPOS LINDOS
Codigo Estacao: A043
Latitude: -8.15472222
Longitude: -46.63944444
Altitude: 426.56
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;132;963,727151;24,742339;5,9;1,683468;
2020-02-29;null;null;null;null;5,9;null;
2020-03-31;null;null;null;25,16557;6,4;null;
2020-04-30;null;null;964,491389;25,255695;6,1;1,733889;
2020-05-31;null;null;965,228226;25,797984;6,1;1,923025;
2020-06-30;null;0;965,624167;24,887639;6,1;2,149722;
2020-07-31;null;null;965,190718;25,316147;7,6;2,321869;
2020-08-31;null;null;null;null;7,1;null;
2020-09-30;null;null;null;null;6,7;null;
2020-10-31;null;null;null;null;7,2;null;
2020-11-30;null;null;null;null;6,1;null;
2020-12-31;null;null;null;null;null;null;

