Nome: GAMA (PONTE ALTA)
Codigo Estacao: A046
Latitude: -15.93527777
Longitude: -48.13749999
Altitude: 990
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;422,6;903,269355;22,805645;7,2;2,221505;
2020-02-29;22;302,6;904,411351;22,362213;7,4;1,776724;
2020-03-31;17;283;904,137927;22,493373;6,9;2,019787;
2020-04-30;14;183,2;905,621261;21,941917;7,3;1,97406;
2020-05-31;4;null;906,977744;19,78913;8,6;2,057697;
2020-06-30;0;0;907,563472;19,857917;6,5;1,794861;
2020-07-31;0;0;907,369489;19,638038;8,8;2,075134;
2020-08-31;0;0;906,870699;21,350403;9;2,797984;
2020-09-30;2;49,2;905,705833;24,054028;9,1;2,939583;
2020-10-31;11;243,2;903,519624;24,102151;8,3;2,322312;
2020-11-30;18;135;903,524964;22,633194;7,6;2,364028;
2020-12-31;15;291,8;903,281452;23,053629;6,9;1,838979;

