Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;480,4;897,553635;22,728237;7,7;1,821768;
2020-02-29;22;512,6;898,798082;22,081753;5,8;1,878936;
2020-03-31;16;null;898,445606;21,959038;5,7;2,213957;
2020-04-30;11;272,8;900,044601;21,628762;5,8;2,321806;
2020-05-31;5;31,6;901,311156;19,429435;6;2,040071;
2020-06-30;0;0;902,045694;19,228889;8,4;2,381806;
2020-07-31;0;0;901,809543;19,191264;7,9;2,495296;
2020-08-31;0;0;901,421102;20,069355;8,3;2,853898;
2020-09-30;2;20;900,235556;23,48875;7,4;2,543472;
2020-10-31;15;117,8;897,861182;24,128214;7,7;2,459898;
2020-11-30;15;139;897,902947;21,892579;6,4;2,306997;
2020-12-31;14;250;897,699107;22,786117;6,6;1,859015;

