Nome: SANTA FE DO ARAGUAIA
Codigo Estacao: A048
Latitude: -7.124191
Longitude: -48.781267
Altitude: 171
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;252,6;988,623738;25,606849;8,2;1,883462;
2020-02-29;22;321,4;988,791835;25,503673;7,3;1,828898;
2020-03-31;26;531,4;988,689739;25,618351;7,4;1,949352;
2020-04-30;22;428;989,235139;25,752778;6,9;1,809058;
2020-05-31;10;50,2;989,726747;26,373387;6,1;1,776344;
2020-06-30;3;15,6;989,897917;26,019028;7,9;2,288611;
2020-07-31;0;0;989,494758;25,900134;8,9;2,478612;
2020-08-31;1;7,6;988,9066;26,903611;9,1;2,514912;
2020-09-30;3;null;null;27,388447;7,8;null;
2020-10-31;3;null;null;null;6,7;null;
2020-11-30;null;null;null;null;9,9;null;
2020-12-31;null;null;null;null;10,9;null;

