Nome: COLINAS DO TOCANTINS
Codigo Estacao: A049
Latitude: -8.092708
Longitude: -48.478605
Altitude: 200
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;284,2;986,430511;25,887769;9,3;1,695699;
2020-02-29;20;371,4;986,660451;25,805354;8,5;1,600337;
2020-03-31;23;316,6;986,616036;25,784949;6,8;1,57162;
2020-04-30;17;271;987,212778;25,798889;6,7;1,456806;
2020-05-31;9;71;987,845968;26,156989;7,2;1,414113;
2020-06-30;0;0;988,1425;25,271805;5,2;1,619861;
2020-07-31;0;0;987,8125;24,704032;5,9;1,698118;
2020-08-31;0;0;987,075538;26,287231;7;1,769355;
2020-09-30;3;4,8;985,884583;28,080556;6,8;1,887361;
2020-10-31;9;173,8;985,03279;27,837027;6,7;1,833409;
2020-11-30;12;271;985,233599;26,573225;8,9;1,70087;
2020-12-31;16;242,8;985,239592;26,140071;8,4;1,55405;

