Nome: RIO SONO
Codigo Estacao: A050
Latitude: -9.793363
Longitude: -47.132732
Altitude: 291
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;24;285,8;975,800467;25,968811;5,6;1,48885;
2020-02-29;19;184,4;976,057265;25,8188;11,4;1,468197;
2020-03-31;25;290,4;976,069057;25,638295;7;1,495734;
2020-04-30;16;278,4;976,693333;26,004861;5,4;1,512639;
2020-05-31;12;39,4;977,535081;26,246102;6,3;1,685081;
2020-06-30;0;0;978,045694;24,711944;7;1,987222;
2020-07-31;0;0;977,788844;24,122849;7,5;2,069624;
2020-08-31;0;0;977,025403;25,632258;7,6;2,096102;
2020-09-30;1;,4;975,777228;27,871715;7,8;2,208967;
2020-10-31;9;79,4;974,374832;28,051518;6,5;1,833159;
2020-11-30;17;266;974,78062;26,495393;6,7;1,814599;
2020-12-31;18;182,2;974,681167;26,266241;8,4;1,489126;

