Nome: ARAGUACU
Codigo Estacao: A054
Latitude: -12.59222221
Longitude: -49.5286111
Altitude: 231
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;391,4;985,11129;26,234677;7;1,889826;
2020-02-29;19;235;985,66408;26,194827;6,6;1,655316;
2020-03-31;22;374,6;985,461559;26,00336;9,1;1,611021;
2020-04-30;23;161,4;986,40125;26,28;7,3;1,435139;
2020-05-31;8;4,6;987,6125;25,599597;5,6;1,513172;
2020-06-30;4;,8;988,13875;24,326528;5,7;1,646389;
2020-07-31;0;0;987,899328;23,764247;5,7;1,693993;
2020-08-31;0;0;986,839516;25,876344;6,3;1,861828;
2020-09-30;0;0;985,285694;28,003056;6,8;1,951806;
2020-10-31;13;185,8;983,719892;28,495296;6,4;1,945565;
2020-11-30;11;197,6;984,275972;26,784306;7,1;1,749728;
2020-12-31;null;null;null;null;7,1;null;

