Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;470,8;907,053267;22,85862;7,9;2,153986;
2020-02-29;20;292,6;908,382502;22,268516;8,7;2,088512;
2020-03-31;18;188,4;908,189095;22,551028;7,6;2,009958;
2020-04-30;10;155,2;909,710972;21,9075;8,4;1,825972;
2020-05-31;6;44,8;911,076478;18,956048;6,5;1,535484;
2020-06-30;4;,8;911,827778;18,596667;5,3;1,584445;
2020-07-31;0;0;911,584005;18,627419;6,7;1,941129;
2020-08-31;0;0;911,168683;19,722043;8,4;2,47043;
2020-09-30;2;10,6;909,830906;22,833829;9,1;2,303515;
2020-10-31;14;142,8;907,381336;24,33378;9,8;2,733718;
2020-11-30;15;157,2;907,495981;22,719515;7,9;2,384308;
2020-12-31;12;252,4;907,251988;22,874946;9,5;1,785448;

