Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;340,8;1004,591182;27,754728;4,6;1,29432;
2020-02-29;19;209,8;1004,782821;27,8127;4,6;1,443897;
2020-03-31;19;363;1004,404842;27,855027;3,8;1,431947;
2020-04-30;23;343,2;1005,690417;26,880278;5,2;1,1625;
2020-05-31;20;283,6;1006,173114;27,032592;5,6;1,199212;
2020-06-30;15;168;1005,853939;27,580909;4,4;1,176818;
2020-07-31;10;49,4;1005,247973;28,680046;4,2;1,304214;
2020-08-31;4;27,8;1005,086657;29,362948;4,6;1,434018;
2020-09-30;13;115,4;1004,332121;29,171047;4,2;1,312727;
2020-10-31;16;107,6;1003,900908;27,885185;6;1,237914;
2020-11-30;16;null;1003,550419;27,55;3,8;1,205144;
2020-12-31;19;228,4;1003,700012;27,088721;5,1;1,270086;

