Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;21;233,8;989,494624;25,62621;4,7;,752016;
2020-02-29;23;227;989,987213;25,243535;4,1;,611351;
2020-03-31;27;217,6;989,601747;25,390322;5,1;,519892;
2020-04-30;22;205,2;991,543889;24,611111;3,7;,44875;
2020-05-31;16;107,4;992,752822;23,67715;4;,531183;
2020-06-30;8;null;991,909594;24,294828;2,7;,530238;
2020-07-31;8;13;991,641167;24,216508;3,3;,584469;
2020-08-31;2;11,6;991,404704;23,992876;5,6;,693548;
2020-09-30;11;149,2;990,479306;25,741389;5,5;,741389;
2020-10-31;19;140,4;989,670565;25,589247;6,1;,795699;
2020-11-30;18;173,2;988,768472;25,933333;5;,669444;
2020-12-31;25;295,6;989,256989;24,816935;4,3;,712366;

