Nome: CRUZEIRO DO SUL
Codigo Estacao: A108
Latitude: -7.61083333
Longitude: -72.68138888
Altitude: 220
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;207,8;986,422849;26,067742;4,3;,983065;
2020-02-29;18;87,8;986,654023;25,891092;3,7;,811494;
2020-03-31;23;336,2;986,47043;25,621909;4;,725538;
2020-04-30;18;116,8;988,179722;25,565139;4,1;,856806;
2020-05-31;4;null;null;null;3,9;null;
2020-06-30;null;null;null;null;4,1;null;
2020-07-31;null;null;null;null;3,9;null;
2020-08-31;null;null;null;null;4;null;
2020-09-30;null;null;null;null;5,7;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

