Nome: LABREA
Codigo Estacao: A111
Latitude: -7.26055555
Longitude: -64.7886111
Altitude: 61.91
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;211,4;1003,457527;26,889516;4,6;,978495;
2020-02-29;22;193,8;1003,844721;26,670003;4,6;,867298;
2020-03-31;18;316,2;1003,523062;26,600964;6;,813013;
2020-04-30;24;252,6;1004,815278;26,556667;4,6;,889583;
2020-05-31;23;198,8;1005,888441;25,819624;5,2;,884543;
2020-06-30;16;33,8;1005,248472;26,399583;3,3;,757222;
2020-07-31;10;27;1004,757392;26,485753;4,4;,816398;
2020-08-31;2;,8;1004,399328;26,793548;5,9;,925403;
2020-09-30;12;46,8;1003,583889;27,54625;5,8;,976111;
2020-10-31;12;23,8;1003,088651;27,067286;7,2;,969968;
2020-11-30;null;null;1002,50125;26,640556;3,9;,831111;
2020-12-31;25;227;1002,902151;25,975;3,7;,879167;

