Nome: HUMAITA
Codigo Estacao: A112
Latitude: -7.5525
Longitude: -63.07138888
Altitude: 53.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;9;null;null;null;5;null;
2020-02-29;7;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;3;6;1005,089644;26,32961;5,6;1,176634;
2020-08-31;3;17,4;1004,774723;26,559855;6,2;1,309731;
2020-09-30;6;null;1003,92589;27,44051;8,6;1,247475;
2020-10-31;12;67;1003,525289;27,207369;7,7;1,251871;
2020-11-30;15;null;null;26,893311;5;null;
2020-12-31;9;null;null;null;7,9;null;

