Nome: MANACAPURU
Codigo Estacao: A119
Latitude: -3.29472221
Longitude: -60.62833332
Altitude: 36.57
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;0;0;1006,100865;27,378594;5,9;1,448019;
2020-02-29;null;null;1006,239568;27,61225;5,5;1,659483;
2020-03-31;null;null;1005,894209;27,684275;6,8;1,634029;
2020-04-30;null;null;1007,195278;26,822917;5,1;1,352917;
2020-05-31;null;null;1007,747849;26,889785;7,4;1,269758;
2020-06-30;null;null;1007,36;27,193333;4,4;1,107361;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;7;null;null;null;null;null;

