Nome: AUTAZES
Codigo Estacao: A120
Latitude: -3.58333333
Longitude: -59.12944443
Altitude: 19.9
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;147,2;1008,020161;27,322715;null;null;
2020-02-29;18;134,6;1008,248563;27,157902;null;null;
2020-03-31;16;387,6;1007,839516;27,404436;null;null;
2020-04-30;21;327,4;1009,067083;26,667917;null;null;
2020-05-31;22;159;1009,514247;26,620565;null;null;
2020-06-30;13;130,2;1009,111944;27,276528;null;null;
2020-07-31;10;79,4;1008,522984;27,470027;null;null;
2020-08-31;4;25;1008,276075;28,280914;null;null;
2020-09-30;10;126;1007,573889;28,145972;null;null;
2020-10-31;7;78;1007,103495;27,676478;null;null;
2020-11-30;15;197,4;1006,863889;27,067778;null;null;
2020-12-31;18;214;1007,048118;26,501747;null;null;

