Nome: RIO URUBU
Codigo Estacao: A125
Latitude: -2.6336111
Longitude: -59.60055555
Altitude: 112.84
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;185,2;1005,467339;26,219758;4,6;,668414;
2020-02-29;19;157,4;1005,666379;26,535201;4,7;,76681;
2020-03-31;21;291,2;1005,246102;26,425269;4,8;,684409;
2020-04-30;27;413,4;1006,521806;25,663333;4,5;,540695;
2020-05-31;31;407,4;1006,968145;25,62621;4,8;,473925;
2020-06-30;19;null;1007,068446;25,49931;4,9;,444427;
2020-07-31;null;null;null;null;3,6;null;
2020-08-31;null;null;null;null;3,2;null;
2020-09-30;null;null;null;null;3,6;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

