Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.125207
Longitude: -67.061246
Altitude: 79.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;174,8;1000,55952;26,507603;null;null;
2020-02-29;null;80;1000,386068;27,178686;null;null;
2020-03-31;null;245,8;1000,351309;26,492113;null;null;
2020-04-30;null;271,2;1001,975694;26,014167;null;null;
2020-05-31;null;359;1002,808333;25,7;null;null;
2020-06-30;null;422;1002,589306;25,256805;null;null;
2020-07-31;null;223,2;1002,15578;25,331989;null;null;
2020-08-31;null;104,4;1002,126925;25,797558;null;null;
2020-09-30;null;null;null;26,641212;null;null;
2020-10-31;null;87;1000,441667;26,528161;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

