Nome: EPITACIOLANDIA
Codigo Estacao: A140
Latitude: -11.02388888
Longitude: -68.73527777
Altitude: 224.5
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;356,2;984,675806;25,850806;3,9;,895161;
2020-02-29;14;139;985,320084;25,434108;4;,905204;
2020-03-31;17;119,4;984,983869;25,643628;3,6;,803316;
2020-04-30;11;null;987,02969;24,373333;5;,890106;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

