Nome: BELEM
Codigo Estacao: A201
Latitude: -1.411228
Longitude: -48.439512
Altitude: 21.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;30;465,6;1009,08032;26,150623;3,3;,691995;
2020-02-29;26;553,8;1009,202836;26,00804;4,5;,697632;
2020-03-31;14;null;null;25,823343;2,9;null;
2020-04-30;29;452,6;1009,377361;26,499167;3,4;,466528;
2020-05-31;28;474,6;1009,735215;26,87043;5,3;,671909;
2020-06-30;22;248,2;1009,690139;27,055278;3,6;,814445;
2020-07-31;17;156,2;1009,387634;27,371102;4,5;,872446;
2020-08-31;10;110,4;1009,187769;28,193145;4,4;,921909;
2020-09-30;19;142,2;1008,853611;27,742639;3,6;,734167;
2020-10-31;25;304,8;1008,118607;27,26804;4,7;,61236;
2020-11-30;27;414,6;1007,547259;26,9718;4;,711781;
2020-12-31;25;227;1007,570115;27,158012;3,8;,741485;

