Nome: CASTANHAL
Codigo Estacao: A202
Latitude: -1.30083333
Longitude: -47.94805555
Altitude: 47.13
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;30;203,4;1006,455376;25,640457;6,6;,060484;
2020-02-29;27;441,6;1006,557071;25,673811;4,2;,049589;
2020-03-31;27;607,6;1006,448983;25,737231;5,2;,054839;
2020-04-30;30;593;1006,839722;25,889583;5,6;,055417;
2020-05-31;22;311,8;1007,433631;26,405952;4,2;,062798;
2020-06-30;21;191,2;1007,168472;26,645;5,8;,0575;
2020-07-31;19;143,6;1006,871774;27,017204;5,3;,063441;
2020-08-31;9;48,4;1006,667204;27,691129;4,9;,115591;
2020-09-30;9;null;1006,313257;27,492509;6,9;,176854;
2020-10-31;11;128,8;1005,471537;27,566472;4,3;,219005;
2020-11-30;24;261,6;1004,985121;26,497313;4,4;,110688;
2020-12-31;18;141,4;1004,991801;26,936559;5,9;,14664;

