Nome: CAROLINA
Codigo Estacao: A205
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;26;134,6;990,332661;26,279839;6;1,103495;
2020-02-29;21;63;990,478017;26,346264;5;1,145402;
2020-03-31;23;456,4;990,440436;26,594583;5,1;1,178417;
2020-04-30;19;364,2;991,009176;26,512351;5,5;,996333;
2020-05-31;7;29,6;991,552554;27,820833;5,3;1,232258;
2020-06-30;5;28,6;991,937361;27,127083;6,6;1,543056;
2020-07-31;0;0;991,566935;27,29328;6,8;1,574731;
2020-08-31;1;6;990,930376;28,691935;5,9;1,654973;
2020-09-30;2;14,2;989,806196;30,238412;7,5;1,725876;
2020-10-31;8;95,8;988,979032;29,142339;6,1;1,494624;
2020-11-30;14;342,6;989,142222;27,277222;5;1,199306;
2020-12-31;19;201,8;989,111022;26,720565;5,2;1,071371;

