Nome: GRAJAU
Codigo Estacao: A207
Latitude: -5.81611111
Longitude: -46.16222222
Altitude: 232.29
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;226,8;985,160215;27,500269;null;null;
2020-02-29;29;80,2;985,273851;27,866667;null;null;
2020-03-31;14;28;985,21828;26,657392;null;null;
2020-04-30;16;65,4;985,73625;26,479861;null;null;
2020-05-31;null;null;986,273521;27,780242;null;null;
2020-06-30;null;0;986,562917;27,021944;null;null;
2020-07-31;0;0;986,244624;27,063441;null;null;
2020-08-31;0;0;985,872178;27,986694;null;null;
2020-09-30;0;0;985,057083;29,236528;null;null;
2020-10-31;0;0;984,107527;29,276882;null;null;
2020-11-30;null;null;984,055833;27,343472;null;null;
2020-12-31;null;null;984,022581;26,734409;null;null;

