Nome: MEDICILANDIA
Codigo Estacao: A209
Latitude: -3.51083333
Longitude: -52.96333333
Altitude: 251.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;24;393;982,577285;24,924866;1,9;,2375;
2020-02-29;26;315,6;982,677586;24,828305;3,1;,255891;
2020-03-31;23;278;982,472581;25,14422;1,9;,224866;
2020-04-30;27;304,8;983,057361;25,001667;3,1;,203472;
2020-05-31;20;264,2;983,387097;25,492204;2,6;,258064;
2020-06-30;10;60,6;983,23375;25,851944;2,9;,424722;
2020-07-31;7;31,4;982,807527;26,794355;4,3;,648522;
2020-08-31;7;41,8;982,588978;27,09664;5,4;,879839;
2020-09-30;8;33,8;982,072639;26,954861;4;,906806;
2020-10-31;8;47;981,321102;27,438978;3,7;1,118145;
2020-11-30;19;159,8;981,159505;25,856516;4;,852923;
2020-12-31;19;207,4;981,214363;25,231798;6,1;,889982;

