Nome: PARAGOMINAS
Codigo Estacao: A212
Latitude: -2.9911111
Longitude: -47.35638888
Altitude: 93
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;996,844489;25,44207;4,2;,813844;
2020-02-29;null;null;996,925144;25,517816;5,1;,882615;
2020-03-31;null;null;996,830511;25,58871;5,1;1,054435;
2020-04-30;28;570,4;997,26;25,628333;4,9;1,095972;
2020-05-31;20;214,8;997,616129;26,389651;5,9;1,140054;
2020-06-30;8;50,6;997,637222;26,265;5,6;1,253611;
2020-07-31;6;21;997,347043;26,335349;5,4;1,411022;
2020-08-31;null;null;997,243258;26,87008;7,2;1,565725;
2020-09-30;null;null;null;null;5,1;null;
2020-10-31;null;null;null;null;4,9;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

