Nome: RONDON DO PARA
Codigo Estacao: A214
Latitude: -4.82749999
Longitude: -48.1736111
Altitude: 203
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;362,4;986,75914;25,480914;6,5;1,315726;
2020-02-29;24;346;986,82773;25,54023;6,5;1,248276;
2020-03-31;29;127;986,76465;25,353898;7,9;1,255645;
2020-04-30;24;48,4;987,213056;25,623056;5,7;1,236667;
2020-05-31;14;82,2;987,602419;26,366935;7,1;1,17836;
2020-06-30;8;29,8;987,678194;25,686667;8,1;1,484167;
2020-07-31;1;9,6;987,317473;25,414785;7,4;1,751613;
2020-08-31;1;20,8;987,060618;25,78629;7,8;1,798925;
2020-09-30;0;0;986,427361;26,467917;7;1,906945;
2020-10-31;12;91,6;985,652688;27,10793;6,6;1,869489;
2020-11-30;18;322;985,483333;25,769722;6,6;1,4825;
2020-12-31;17;64;985,478495;25,610081;7,7;1,381048;

