Nome: SAO FELIX DO XINGU
Codigo Estacao: A216
Latitude: -6.63972221
Longitude: -51.95694444
Altitude: 211
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;28;291,6;987,717204;25,921505;6,3;1,673522;
2020-02-29;21;201,6;987,21954;25,91523;6,6;1,559626;
2020-03-31;19;265;988,273925;25,986022;8,3;1,800672;
2020-04-30;23;260;988,042361;25,923195;6,4;1,63125;
2020-05-31;19;123;988,658468;26,469758;8,2;1,604839;
2020-06-30;5;11;989,116204;26,216204;5,9;1,683642;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;9;null;null;null;null;null;

