Nome: BARRA DO CORDA
Codigo Estacao: A221
Latitude: -5.50666666
Longitude: -45.23694444
Altitude: 154.19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;null;993,726909;26,475831;5,1;,867501;
2020-02-29;null;null;993,848971;26,223587;5,9;,868912;
2020-03-31;null;null;993,621777;26,043692;5;,908624;
2020-04-30;null;null;994,21615;26,431298;5,3;1,188262;
2020-05-31;null;null;null;26,932258;4,7;null;
2020-06-30;null;null;995,12189;26,5642;5,7;1,438297;
2020-07-31;null;null;994,846152;26,32213;5,4;1,415417;
2020-08-31;null;null;994,427408;27,835395;5,4;1,458734;
2020-09-30;null;null;993,581882;29,206164;5,5;1,661105;
2020-10-31;null;0;992,596478;29,303165;4,5;1,534521;
2020-11-30;null;null;992,49163;27,457488;8,1;1,171978;
2020-12-31;null;null;992,427337;26,96407;4,9;,9684;

