Nome: ALTO PARNAIBA
Codigo Estacao: A223
Latitude: -9.10833333
Longitude: -45.93194443
Altitude: 283.69
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;254,2;979,117876;26,093011;4,9;,700134;
2020-02-29;19;158,2;979,343822;26,037644;4,3;,690086;
2020-03-31;23;268;979,373118;25,993548;4,9;,763441;
2020-04-30;12;91,8;980,048056;26,34125;5;,808611;
2020-05-31;5;57;980,947446;26,638441;5,1;,762231;
2020-06-30;1;,2;981,544306;25,279583;5,7;,995;
2020-07-31;0;0;981,326478;24,884812;5,4;1,049462;
2020-08-31;1;1,2;980,664919;26,025672;5,9;,928091;
2020-09-30;0;0;979,332222;28,410833;5,6;1,006945;
2020-10-31;10;64,8;977,863978;28,119489;5;,773118;
2020-11-30;16;161,8;978,233194;26,650972;5,9;,911945;
2020-12-31;16;72;977,957393;26,761022;5,4;,837903;

