Nome: ESTREITO
Codigo Estacao: A224
Latitude: -6.65333333
Longitude: -47.41833332
Altitude: 182.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;5;1;990,552419;25,770968;5,8;,942473;
2020-02-29;0;0;990,639224;26,01796;5,8;,745546;
2020-03-31;2;5;990,58078;25,899059;6,1;,703226;
2020-04-30;18;390,2;991,156389;25,567222;7,4;,643056;
2020-05-31;15;7,4;991,62379;26,249597;6,3;,774059;
2020-06-30;3;,6;991,924583;25,02;7;1,270139;
2020-07-31;0;0;991,567339;24,616801;6,8;1,324866;
2020-08-31;0;0;991,03293;26,040054;8,4;1,425;
2020-09-30;5;5,2;990,089861;27,164306;6,4;1,303194;
2020-10-31;16;13;989,312769;27,663575;6,9;,797581;
2020-11-30;null;null;989,32975;28,067529;4,9;,671444;
2020-12-31;null;null;989,292204;28,064651;6,8;,51371;

