Nome: TUCURUI
Codigo Estacao: A229
Latitude: -3.82277777
Longitude: -49.67499999
Altitude: 137.94
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;340,8;994,986694;25,76707;3,8;,289382;
2020-02-29;28;358,8;995,078448;25,362644;4,6;,425431;
2020-03-31;27;361,2;994,923521;25,615188;4,4;,319355;
2020-04-30;null;null;995,374722;25,852778;4,4;,267222;
2020-05-31;11;null;995,721505;26,570296;5,4;,190457;
2020-06-30;11;97,6;995,658472;27,274722;4,4;,433333;
2020-07-31;4;11,8;995,274866;27,855376;3,7;,212097;
2020-08-31;4;23;995,055645;28,202823;4,7;,406048;
2020-09-30;null;null;994,52375;28,304306;4,5;,561111;
2020-10-31;5;9,6;993,78414;28,272177;6,7;,535618;
2020-11-30;17;310,4;993,595972;26,369167;4,8;,472361;
2020-12-31;13;69,6;993,601478;26,525941;5,1;,451747;

