Nome: SANTANA DO ARAGUAIA
Codigo Estacao: A233
Latitude: -9.3386111
Longitude: -50.35027777
Altitude: 176.75
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;166,2;991,085081;26,383736;8,6;1,329839;
2020-02-29;19;179,8;991,38046;26,686638;7,7;1,284483;
2020-03-31;25;343,4;991,299462;26,102151;5;,850941;
2020-04-30;18;144,2;990,0175;26,919306;5,4;,594167;
2020-05-31;10;32,4;989,491129;27,089919;5,9;,771505;
2020-06-30;1;,2;988,070048;26,561111;4,5;null;
2020-07-31;0;0;992,505645;25,911694;null;null;
2020-08-31;1;4,6;990,581452;27,826882;null;null;
2020-09-30;3;12,2;989,427361;29,110417;null;null;
2020-10-31;11;107,2;984,030902;28,8;null;null;
2020-11-30;16;214,6;987,68625;27,482222;null;null;
2020-12-31;18;274;988,936027;26,848522;null;null;

