Nome: TUCUMA
Codigo Estacao: A234
Latitude: -6.74333333
Longitude: -51.14194444
Altitude: 320.93
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;298;975,625672;25,129301;null;null;
2020-02-29;22;192,2;975,741379;25,062931;null;null;
2020-03-31;22;528;975,652554;25,139382;null;null;
2020-04-30;25;323,2;976,252222;25,05875;null;null;
2020-05-31;16;182,2;976,788038;25,441263;null;null;
2020-06-30;3;7,4;976,826667;25,088056;null;null;
2020-07-31;1;,4;976,333737;25,506048;null;null;
2020-08-31;2;6,6;975,737903;26,920161;null;null;
2020-09-30;7;41,4;974,919028;27,323472;null;null;
2020-10-31;3;null;null;null;3,6;null;
2020-11-30;null;null;null;null;4,3;null;
2020-12-31;null;null;null;null;3,7;null;

