Nome: CAMETA
Codigo Estacao: A236
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.92
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;27;474,8;1010,763979;26,565054;5,3;1,554167;
2020-02-29;27;493,8;1010,85;26,456609;6,4;1,50158;
2020-03-31;25;413,8;1010,667742;26,701479;4,3;1,531317;
2020-04-30;28;493,8;1011,12244;26,782328;4,5;1,372619;
2020-05-31;21;null;1011,410312;27,478366;5,5;1,360538;
2020-06-30;12;205;1011,288073;28,292249;4,6;1,595293;
2020-07-31;9;49,6;1010,943391;28,560513;6,2;1,664984;
2020-08-31;5;25,4;1010,762617;29,131119;4,5;1,994308;
2020-09-30;7;63;1010,390839;28,866902;8,5;2,206147;
2020-10-31;2;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

