Nome: MARABA
Codigo Estacao: A240
Latitude: -5.36638888
Longitude: -49.05111111
Altitude: 116.58
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;311;998,301747;25,728898;5,6;1,331452;
2020-02-29;23;237,8;998,354885;25,800575;4,3;1,245833;
2020-03-31;22;292,4;998,223656;25,861156;4,6;1,289247;
2020-04-30;22;287,6;998,708194;26,06625;4,3;1,235278;
2020-05-31;9;59,8;999,107124;26,74328;4,8;1,095161;
2020-06-30;8;10,2;999,201861;26,40254;5,2;1,218808;
2020-07-31;1;null;null;null;4,6;null;
2020-08-31;null;null;null;null;4,5;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;8;null;null;25,674219;4,1;null;

