Nome: PORTO GRANDE
Codigo Estacao: A244
Latitude: 0.69416666
Longitude: -51.40388888
Altitude: 84.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;21;null;1002,186253;25,591917;6,9;2,017294;
2020-02-29;19;null;1002,375589;25,616493;6;2,12059;
2020-03-31;26;219,6;1002,063306;25,771371;6,1;1,998656;
2020-04-30;23;null;1002,492125;25,668576;6,5;1,532212;
2020-05-31;14;null;null;25,766667;5,9;null;
2020-06-30;30;265,6;1002,780833;25,363333;5,4;1,495417;
2020-07-31;24;196,2;1002,388306;25,668683;5,4;1,423253;
2020-08-31;16;134,4;1002,199328;26,717608;5,7;1,666129;
2020-09-30;11;45,8;1001,857639;27,390556;5,6;1,913056;
2020-10-31;7;35,4;1001,012903;28,086962;5;2,11922;
2020-11-30;21;220,6;1000,639306;26,432083;6,1;1,730972;
2020-12-31;17;41,8;1000,695327;26,512351;6;1,941339;

