Nome: MINA DO PALITO
Codigo Estacao: A246
Latitude: -6.31999999
Longitude: -55.78777777
Altitude: 259.88
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;347,6;980,292742;25,004436;4,2;,942608;
2020-02-29;null;268,4;980,553286;25,182365;4,6;,917829;
2020-03-31;null;388,4;980,310001;25,251788;3,1;,977677;
2020-04-30;null;269,4;981,069167;25,267083;3,4;,947083;
2020-05-31;null;184;981,547715;25,904973;3,3;,926075;
2020-06-30;null;24,6;981,388889;26,575972;3,3;1,009306;
2020-07-31;null;11;980,839286;27,001042;3,3;,972768;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

