Nome: MACAPA
Codigo Estacao: A249
Latitude: 0.03499999
Longitude: -51.08888888
Altitude: 16.62
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;27;241,2;1010,034555;26,275;5,1;1,605774;
2020-02-29;21;235,4;1010,139472;26,287539;4,8;1,546513;
2020-03-31;22;248,4;1009,944293;26,439475;5,3;1,547925;
2020-04-30;27;501,8;1010,379167;26,472917;5,7;1,558195;
2020-05-31;22;361,2;1010,729704;27,064516;8,1;1,551882;
2020-06-30;26;256,2;1010,629583;26,985556;4,7;1,552222;
2020-07-31;18;69;1010,228091;27,527285;6;1,599597;
2020-08-31;15;70,2;1010,048118;28,384946;7,5;2,042876;
2020-09-30;10;57,8;1009,737754;28,502005;5,3;2,343013;
2020-10-31;1;,2;1008,925098;29,062867;4,9;2,629973;
2020-11-30;21;395,6;1008,489324;27,602856;4,7;1,979112;
2020-12-31;17;102,2;1008,542502;27,501478;5,5;1,949018;

