Nome: DOM ELISEU
Codigo Estacao: A252
Latitude: -4.28055554
Longitude: -47.56388888
Altitude: 251
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;27;175;982,498387;25,427285;6,8;1,50578;
2020-02-29;null;null;982,596983;25,40704;5,5;1,521552;
2020-03-31;null;null;982,533333;25,14879;5,6;1,350538;
2020-04-30;null;null;982,989028;25,339167;6,7;1,500694;
2020-05-31;null;null;983,380645;26,467876;5,1;1,766264;
2020-06-30;4;13,6;983,469444;26,180139;6,4;2,076667;
2020-07-31;1;4;983,149462;26,323387;6,4;2,09785;
2020-08-31;0;0;982,922849;26,691263;6,8;2,154973;
2020-09-30;0;0;982,329445;27,346806;5,7;2,269306;
2020-10-31;3;9,4;981,500134;27,514247;6,7;2,040591;
2020-11-30;12;312;981,230833;26,137639;5,1;1,716944;
2020-12-31;6;48,2;981,254301;25,904839;5,9;1,733333;

