Nome: NATAL
Codigo Estacao: A304
Latitude: -5.83722221
Longitude: -35.20805555
Altitude: 47.46
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;171;1006,291263;27,785484;5,9;3,536828;
2020-02-29;15;182;1006,118678;28,085632;6,5;3,390517;
2020-03-31;19;385,8;1005,751613;27,770968;6;2,437097;
2020-04-30;24;227,6;1006,429306;27,457361;6,5;2,905833;
2020-05-31;22;428,2;1007,602823;26,537231;6,8;2,937366;
2020-06-30;20;306,6;1008,221806;25,654444;8,2;3,493611;
2020-07-31;18;239;1008,610349;24,897312;8,2;3,828898;
2020-08-31;16;33,2;1009,018683;25,227688;8,5;4,679704;
2020-09-30;13;41;1008,816944;25,756806;8,6;4,656944;
2020-10-31;5;null;1007,343295;26,647588;8,2;4,2476;
2020-11-30;null;null;null;null;8,2;null;
2020-12-31;null;null;null;null;8;null;

