Nome: PETROLINA
Codigo Estacao: A307
Latitude: -9.38833333
Longitude: -40.52333332
Altitude: 372.72
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;9;106,4;969,754839;28,070296;6,4;2,439919;
2020-02-29;2;20;970,093104;28,226149;6,3;2,651149;
2020-03-31;18;110,4;969,95578;27,475134;7,1;2,582258;
2020-04-30;10;76,2;971,017917;27,044861;8,1;2,755556;
2020-05-31;4;6,4;972,514516;26,307124;6,5;3,267742;
2020-06-30;8;16,8;973,488472;24,710833;7,6;3,712083;
2020-07-31;3;5,2;973,735618;24,244355;7,4;3,881317;
2020-08-31;2;4,4;973,694892;24,752151;7,4;4,073253;
2020-09-30;1;,2;972,609167;26,627917;6,6;4,092222;
2020-10-31;2;1;969,949059;29,22379;6,8;3,385753;
2020-11-30;8;150;969,854028;26,945833;7;3,253472;
2020-12-31;0;0;969,441129;28,545968;6,7;3,364247;

