Nome: PARNAIBA
Codigo Estacao: A308
Latitude: -3.08666666
Longitude: -41.78305554
Altitude: 52.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;227,8;1005,135349;26,712097;8,3;2,264516;
2020-02-29;23;161,6;1005,287931;26,229454;5,8;1,964511;
2020-03-31;25;433;1005,14879;26,345565;5,4;1,625441;
2020-04-30;26;343,6;1005,617639;26,126944;5,6;1,524583;
2020-05-31;10;null;null;26,68869;4,1;null;
2020-06-30;5;null;1006,210903;26,295883;5,3;1,719387;
2020-07-31;3;21,8;1006,281452;26,161828;5,2;1,892876;
2020-08-31;1;2,2;1006,130645;26,668548;6,4;2,646774;
2020-09-30;0;0;1005,602083;27,569722;6,4;3,659722;
2020-10-31;0;0;1004,526075;28,135349;7,3;4,108333;
2020-11-30;1;97,2;1003,906111;27,977083;6,4;3,520556;
2020-12-31;0;0;1003,844892;27,99422;6,8;3,748387;

