Nome: ARCO VERDE
Codigo Estacao: A309
Latitude: -8.4336111
Longitude: -37.05555555
Altitude: 683.95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;5;58,8;936,400538;26,313978;7,2;2,915457;
2020-02-29;12;67,4;936,678448;25,736494;7,8;2,569253;
2020-03-31;22;500,8;936,575859;24,287991;6,4;1,906773;
2020-04-30;11;8,4;937,49;23,861667;6,1;2,072083;
2020-05-31;null;null;938,749059;22,458468;6,7;2,426613;
2020-06-30;null;null;939,342222;21,161667;6,9;2,858472;
2020-07-31;null;null;939,511022;20,364113;6,9;2,941667;
2020-08-31;null;null;939,684812;20,974059;7,4;3,435081;
2020-09-30;null;null;939,082639;22,40625;7,7;3,527639;
2020-10-31;null;null;null;24,88631;8,6;null;
2020-11-30;null;null;null;null;7,6;null;
2020-12-31;null;null;null;null;null;null;

