Nome: TERESINA
Codigo Estacao: A312
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.23
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;191,2;1002,838575;26,902285;6;1,094758;
2020-02-29;22;353,8;1003,019253;26,399282;7,1;,900575;
2020-03-31;28;371;1002,93521;26,307053;5,6;,899687;
2020-04-30;null;null;null;null;4,8;null;
2020-05-31;null;null;null;null;4;null;
2020-06-30;null;null;null;null;4,5;null;
2020-07-31;null;null;null;null;4,3;null;
2020-08-31;null;null;null;null;4,7;null;
2020-09-30;null;null;null;null;5;null;
2020-10-31;null;null;null;null;4,5;null;
2020-11-30;null;null;null;null;4,2;null;
2020-12-31;null;null;null;null;4,2;null;

