Nome: CAMPINA GRANDE
Codigo Estacao: A313
Latitude: -7.225574
Longitude: -35.904831
Altitude: 546.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;9;44,4;951,336559;25,650403;7,4;3,493952;
2020-02-29;11;19;951,346983;25,958333;7,8;3,424138;
2020-03-31;13;131,6;951,093937;25,307283;6,3;2,481147;
2020-04-30;17;59,6;951,859722;25,003056;6,1;2,630278;
2020-05-31;17;85,8;953,020564;23,968145;6,9;2,505376;
2020-06-30;21;120,4;953,617917;22,537778;6,5;2,527083;
2020-07-31;18;105,6;953,82164;21,589516;6;2,475806;
2020-08-31;13;14,8;954,085349;22,32957;6,9;3,186962;
2020-09-30;10;31,6;953,747222;22,693333;6,7;3,487778;
2020-10-31;3;1,8;952,163038;24,38629;6,7;3,810887;
2020-11-30;7;23,6;951,337222;24,738333;7,2;4,038195;
2020-12-31;11;25,8;951,42621;24,575672;7,5;4,211425;

