Nome: CAICO
Codigo Estacao: A316
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;18,6;992,06828;29,614785;6,4;2,275134;
2020-02-29;null;null;992,178592;28,463937;5,8;1,883621;
2020-03-31;null;null;992,196102;27,634543;6;1,577957;
2020-04-30;null;null;992,835;27,479583;5,7;1,679861;
2020-05-31;null;null;994,008871;27,081586;4,7;1,842339;
2020-06-30;null;null;null;null;5,8;null;
2020-07-31;null;null;null;null;5,8;null;
2020-08-31;null;null;null;null;6,1;null;
2020-09-30;null;null;null;null;6,3;null;
2020-10-31;null;null;null;null;6,7;null;
2020-11-30;null;null;null;null;4,8;null;
2020-12-31;null;null;null;null;4,4;null;

