Nome: MACAU
Codigo Estacao: A317
Latitude: -5.15111111
Longitude: -36.57305554
Altitude: 17.37
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;9;75;1009,270699;28,211694;9;3,968011;
2020-02-29;11;103,8;1009,152586;28,042529;8,3;3,427586;
2020-03-31;12;null;1009,051158;27,46062;7,1;2,745007;
2020-04-30;null;null;null;null;6,8;null;
2020-05-31;null;null;null;null;7,1;null;
2020-06-30;null;null;null;null;8,2;null;
2020-07-31;null;null;null;null;7,9;null;
2020-08-31;null;null;null;null;8;null;
2020-09-30;null;null;null;null;8,9;null;
2020-10-31;null;null;null;null;9,8;null;
2020-11-30;null;null;null;null;9,2;null;
2020-12-31;null;null;null;null;null;null;

